raceId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
100,"Cloudy, Air: 17 °C (63 °F), Track 27 °C (81 °F)[2]",0,0,0,0,0
101,Sunny,1,0,0,0,0
102,"Warm, dry and sunny, Air: 26 °C (79 °F), Track 42 °C (108 °F)",0,0,1,0,0
103,Dry with temperatures reaching up to 15 °C (59 °F)[1],0,0,1,0,0
104,"Wet track at the start, dry later on",0,0,1,1,0
105,Sunny with temperatures reaching up to 27 °C (81 °F)[1],1,0,0,0,0
106,Sunny,1,0,0,0,0
107,Dry/Wet,0,0,0,0,0
108,"Damp at beginning, dry later, cloudy, mild",1,0,1,1,0
109,"Fine, air temperature 34°C (93°F)",0,0,0,0,0
110,Rainy: 20 °C (68 °F),0,0,0,0,0
111,Mostly cloudy with maximum ambient temperatures reaching 13 degrees during the day.,0,0,0,0,1
112,Clear,1,0,0,0,0
113,Mostly cloudy with isolated showers in the area,0,0,0,1,1
114,"Sunny at start, cloudy later",1,0,0,0,1
115,Partly cloudy and mild with temperatures reaching a maximum of 19.3 °C (66.7 °F)Wind speeds up to 12.9 km/h (8.0 mph)[1]Track 32 °C (90 °F)[2],1,0,0,0,1
116,Mostly cloudy with maximum ambient temperatures reaching 25 degrees celsius during the day.,0,0,0,0,1
117,"Cloudy, Air: 26 °C (79 °F), Track 35 °C (95 °F)",0,0,0,0,0
118,"Sunny at start, cloudy later, Air: 24 °C (75 °F), Track 29 °C (84 °F)[1]",1,0,0,0,1
119,Fine,1,0,0,0,0
120,"Warm, dry and sunny, 28 °C (82 °F)",0,0,1,0,0
121,Sunny,1,0,0,0,0
122,Scattered showers with temperatures up to 20.6 °C (69.1 °F);Wind speeds up to 25.93 km/h (16.11 mph)[2],0,0,0,1,0
123,"Cloudy, Air: 22 °C (72 °F), Track 25 °C (77 °F)",0,0,0,0,0
124,"Cloudy at start, clearing to sunny skies.",1,0,0,0,1
125,"Partially cloudy, hot, and dry",0,0,1,0,0
126,"Clear, Air Temp: 30°C",0,0,0,0,0
127,"Scattered thunderstorms, but remaining dry. Air Temp: 18°C",0,0,0,0,0
128,"Clear, Air Temp: 20°C",0,0,0,0,0
129,"Clear, Air Temp: 20°C",0,0,0,0,0
130,Fine; air temperature 22 °C (72 °F),0,0,0,0,0
131,Mostly fine and humid with temperatures reaching a maximum of 24.1 °C (75.4 °F)Wind speeds up to 8 km/h (5.0 mph)[1],1,0,0,0,0
132,"Mainly Fine, Air Temp: 18°C",0,0,0,0,0
133,"Dry/Wet, Air Temp: 21°C",0,0,0,0,0
134,"Warm and sunny, Air Temp: 25°C",1,0,0,0,0
135,"Fine, Air Temp: 28°C",0,0,0,0,0
136,"Partially cloudy, hot and sunny, Air Temp: 28 °C (82 °F)[4]",1,0,0,0,0
137,"Cloudy, Air: 17 °C (63 °F), Track 25 °C (77 °F)[1]",0,0,0,0,0
138,"Sunny, hot, dry 23°C",0,0,1,0,0
139,Sunny with temperatures reaching up to 26.7 °C (80.1 °F);Wind speeds approaching a maximum of 18.70 km/h (11.62 mph)[2]Track 34 °C (93 °F),1,0,0,0,0
140,"Sunny, Air: 26 °C (79 °F), Track 30 °C (86 °F)",0,0,0,0,0
141,"Cloudy, sunny later",1,0,0,0,0
142,"Rain and Thunderstorms at start, dry later; Air Temp at start: 32 °C (90 °F)",0,0,1,1,0
143,"Dry first, rain and thunderstorms later; Air temp: 25–30 °C (77–86 °F)[1] Track 27–40 °C (81–104 °F)",0,0,1,1,0
144,"Sunny. Air Temp: 14 °C (57 °F), Track 26 °C (79 °F)",0,0,0,0,0
145,"Overcast, Mild, Dry, Air Temp: 18°C",0,0,0,0,0
146,"Sunny, Air: 18 to 19 °C (64 to 66 °F), Track 18 to 32 °C (64 to 90 °F)",0,0,0,0,0
147,"Warm and Sunny, Air Temp: 23 °C (73 °F), Track 36 to 39 °C (97 to 102 °F)",1,0,0,0,0
148,Sunny,1,0,0,0,0
149,"Sunny, mild, dry, Air Temp: 21°C",0,0,0,0,0
150,Sunny,1,0,0,0,0
151,"Partially cloudy, mild, dry, Air Temp: 16 °C (61 °F), Track 27 °C (81 °F)",0,0,0,0,0
152,"Partially cloudy, very hot, dry",0,0,1,0,0
153,"Hot, dry and partially cloudy",0,0,1,0,1
154,"Overcast, mild, dry, Air Temp: 12 to 16 °C (54 to 61 °F)",0,0,0,0,0
155,"Sunny, partly cloudy, Air: 19 to 20 °C (66 to 68 °F), Track 26 °C (79 °F)",0,0,0,0,0
156,"Sunny, cool, Air: 19–21 °C (66–70 °F);Track 27 °C (81 °F)",0,0,0,0,0
157,"Cloudy, mild, dry, air temp: 24°C",0,0,0,0,0
158,"Sunny,[2] Air Temp: 20 °C",0,0,0,0,0
159,"Sunny with some clouds, Air: 22 °C (72 °F), Track: 35 °C (95 °F)",1,0,0,0,0
160,"Overcast, mild, dry; 16 °C (61 °F)",0,0,0,0,0
161,"Sunny, mild, dry, Air Temp: 10 °C (50 °F)",0,0,0,0,0
162,"Sunny, Mild, Dry",0,0,1,0,0
163,"Dry at first, rain later on, Air: 11 °C (52 °F), Track: 12 °C (54 °F)",0,0,1,1,0
164,Sunny,1,0,0,0,0
165,"Cloudy and raining; Air 17 °C (63 °F),Track 21 °C (70 °F)",0,0,0,0,1
166,"Sunny, dry, Air Temp: 27°C",0,0,0,0,0
167,"Partially cloudy, dry",0,0,1,0,0
168,Dry/Wet,0,0,0,0,0
169,"Partially cloudy, very hot, dry",0,0,1,0,0
170,"Wet at start, drying, Air & track temperature; 15 °C (59 °F)",0,0,0,1,0
171,Sunny with temperatures reaching up to 29 °C (84 °F)[4],1,0,0,0,0
172,"Cloudy, drying, Air 12 °C (54 °F);Track 14 °C (57 °F)",0,0,0,0,0
173,Dry/wet,0,0,0,0,0
174,"Overcast, Very hot, Dry",0,0,1,0,0
